,CustomerID,Age,Gender,Annual_Income_000s,Avg_Monthly_Spend,Purchase_Frequency_per_Month,Avg_Basket_Value,Online_Purchase_Pct,Discount_Sensitivity,Brand_Loyalty_Score,added_Cluster
162,163,61,F,100.4,19900,3,7725,69.1,1,4.2,1
163,164,31,F,50.8,7724,6.5,1018,28.1,8.5,4.7,2
164,165,56,M,84.7,15808,2.5,5720,87.3,4.2,8,1
165,166,45,M,57.4,2849,1.3,1518,24.2,5.4,1.8,2
166,167,36,F,32.7,8941,8.4,980,70.2,9.2,2.4,2
167,168,27,F,60.4,11808,6.2,1805,49,6,8.6,1
168,169,51,F,67.7,14698,7.1,1687,54.8,4.8,6.3,1
169,170,28,M,37.4,1892,1.5,1687,25.4,7.3,3.6,2
170,171,51,M,67.7,18557,4.6,2676,76,3.7,9.5,1
171,172,46,M,93.3,20142,3.8,4687,82.3,2.1,6.1,1
172,173,29,F,52.2,6627,7.7,923,64.1,7.3,4.9,2
173,174,57,F,27.3,9826,10.6,647,55.3,7.9,3.3,2
174,175,33,F,32.5,9293,9.8,972,63.1,8.2,5.5,2
175,176,23,M,40.2,9747,10.7,1187,35.6,9.9,2.8,2
176,177,29,M,60.6,13734,5.9,2089,51.2,3.8,9.8,1
177,178,39,F,119,15354,3.2,5147,84.4,2.1,7.9,1
178,179,39,M,89.4,18657,0.2,4716,72.3,2.9,6.8,1
179,180,59,M,51,16241,6.9,1421,45.5,3.5,10,1
180,181,35,M,72.4,9508,5.7,1816,69,3.7,9,2
181,182,53,F,47.2,12677,4,2177,67.5,2.1,8,1
182,183,42,M,42.8,3274,0.7,1808,30.7,5.4,1.5,2
183,184,55,F,21.7,2696,1,2504,30.8,4,2.5,2
184,185,27,F,109.7,22592,2.7,4825,79,2.1,8,1
185,186,44,F,49.3,14276,6,2622,62.9,5,9.3,1
186,187,25,M,72.1,14321,4.4,2184,30.6,5.1,8.6,1
187,188,37,F,56.4,9937,5.9,2700,44.9,4.9,8.7,2
188,189,40,M,29.1,898,1.7,1648,32.4,1,4,2
189,190,62,F,70.4,12962,4.4,2496,37.1,4.3,8.1,1
190,191,36,M,53.6,13837,6.9,1848,31.8,3.8,8.3,1
191,192,64,F,28.4,7501,8.1,831,55.9,8.4,4.6,2
192,193,49,M,43.4,8056,9,1187,48.8,7.5,7.1,2
193,194,24,M,34.5,1369,0.2,1840,15.9,4.9,2.4,2
194,195,36,F,60.1,12575,6.8,1167,51.9,4,9.3,1
195,196,34,F,69.4,15944,4.8,5671,83.6,3.2,6.8,1
196,197,24,F,98.5,18965,4.4,6523,64.2,1,8.9,1
197,198,28,F,55.5,10483,6.7,2665,52.2,6,8.5,2
198,199,49,F,47.6,14272,6.7,2451,51.5,5.5,8.3,1
199,200,47,F,37.8,8873,9.2,1158,61.4,7.5,5.5,2
200,201,51,M,54.2,2295,1.3,1746,19.6,3,2.5,2
201,202,22,M,39.7,3008,0.7,1693,30.6,6.9,3.8,2
202,203,38,M,87.1,17164,2.1,4855,65.8,1.8,6.4,1
203,204,47,M,51.1,12805,5.4,2366,62.2,3.1,9.5,1
204,205,47,F,37.3,9136,9.4,807,55.2,8.1,4.6,2
205,206,29,F,67.6,11750,6.9,1585,59.5,4.5,9.3,1
206,207,64,F,53.1,14541,7.8,1940,47,3.3,9.6,1
207,208,39,F,46.6,1415,1.3,1262,33,3.6,5.1,2
208,209,30,M,90.8,18381,3.7,6331,76,3.5,10,1
209,210,26,F,48.2,3154,1.2,1875,24,1.3,2.4,2
210,211,22,M,84.8,16177,3,5195,69.4,2.3,7.2,1
211,212,30,M,45.9,728,1,1600,19.2,6.1,1.1,2
212,213,34,F,52.2,12413,3.8,2112,48.2,3.7,8.6,1
213,214,40,F,97.1,17171,2.3,4896,72,1.8,7.9,1
214,215,34,M,31.7,9498,7.9,719,54.7,7,6.8,2
215,216,53,F,23.6,12182,11,689,58.6,8.6,1.5,1
216,217,28,F,56.7,13988,6.4,2025,51.8,1.9,7,1
217,218,48,F,77.6,20888,2.2,4742,64.8,3.1,8.1,1
218,219,31,F,39.9,8735,7.5,1187,68.7,10,5.8,2
219,220,41,F,52.1,410,0.4,2100,15.9,4.9,2.7,2
220,221,35,M,31.5,7809,6.2,827,38.8,9,2.6,2
221,222,29,F,103.5,17741,3.8,3927,77.7,2.4,9.1,1
222,223,59,F,68.1,15237,6.5,2051,47.6,4,8.5,1
223,224,44,F,42.6,8706,9.6,1026,49.9,9,5.6,2
224,225,41,F,37.6,1841,0.2,1609,19.4,6.3,1,2
225,226,60,M,41.6,8433,8.4,882,57.8,6.7,5.9,2
226,227,34,F,30.7,6206,8.1,1157,56.7,9,4.3,2
227,228,61,M,65,15721,6.2,2366,43.5,2,7.7,1
228,229,35,M,92.8,14781,3.3,4952,75.5,3.2,5.7,1
229,230,39,M,39.9,8580,10.3,885,38.5,8.5,4.5,2
230,231,54,F,72.6,14825,7.7,2378,49.1,5.3,9.2,1
231,232,61,F,41.9,7700,10.2,603,65.9,7.7,4.3,2
232,233,40,F,33.3,9260,11.7,815,64.7,7.8,5.2,2
233,234,57,F,25.5,9102,10.8,1043,35,8.5,4.4,2
234,235,27,M,41.5,7921,8.9,529,66.7,7.8,6,2
235,236,45,M,26.3,2324,2,1205,41.4,5.5,2.9,2
236,237,29,M,50.5,3457,2.3,1947,13.2,3.4,2.6,2
237,238,61,M,29.3,9901,6.1,869,37.4,7.2,5,2
238,239,40,F,61.4,2183,1.8,1433,21.4,5.5,4.2,2
239,240,54,F,102.6,16092,3.9,5698,81.6,1.7,7.1,1
240,241,48,F,97.2,12166,2.8,4490,66.8,3.3,8.4,1
241,242,51,F,55.6,13792,5.4,2288,56.7,3.3,9.3,1
242,243,47,M,54.6,2629,1.1,2015,41.1,4.4,2.6,2
243,244,29,F,90.8,17079,2.7,6279,93.1,2.7,7.9,1
244,245,36,M,45.5,2667,1,2187,21.5,3.2,3.6,2
245,246,57,M,43,10889,8.5,634,47,9.3,6.4,2
246,247,28,M,64.8,9600,5.6,2008,49.6,4.8,8.6,2
247,248,44,M,63.4,12844,6.5,2000,48.1,3.5,10,1
248,249,25,M,78.6,19874,3.6,5559,83.2,2.9,6.4,1
249,250,33,F,41.3,2876,2.8,2127,29.3,4,2.9,2
250,251,45,F,64.7,1528,1.6,1514,28.7,5.8,2.9,2
251,252,59,M,69.3,12797,6.1,2224,65.1,6.1,8.1,1
252,253,41,M,92.3,14308,3.8,6235,81.6,4.8,7.5,1
253,254,61,F,36.3,6428,13.2,1028,75.7,8.2,6.2,2
254,255,28,M,29.1,7269,9.6,813,54.3,8.7,7.1,2
255,256,31,F,89.9,15071,3.6,5359,76.7,3.5,7.5,1
256,257,29,F,82.6,12404,7.4,2208,50.4,3.2,10,1
257,258,52,F,49.5,2214,0.4,2099,32.9,2.2,2.4,2
258,259,61,M,61.4,13799,4.8,1857,48.3,2.9,8.5,1
259,260,49,F,36.1,2247,0.8,1442,17.7,3.2,2.7,2
260,261,49,M,42.9,1945,0.3,2771,18.8,5,3.6,2
261,262,46,M,61.3,12971,8.4,2151,34.4,4.6,8,1
262,263,53,M,29.9,10952,8.7,889,73.4,9.1,5.6,2
263,264,52,F,59.6,15042,4.3,2675,39.4,1.7,7.7,1
264,265,21,M,29.8,10089,10.7,698,40.5,9,3.3,2
265,266,30,F,66.4,2368,1.8,1903,27.9,5.7,1.4,2
266,267,51,F,77,15908,4.2,2620,65.2,3.8,7.8,1
267,268,60,F,46.2,9499,10.1,1171,62.6,9.6,5,2
268,269,47,M,93.1,21302,2.5,5527,80.8,2,8.4,1
269,270,63,M,45.7,6931,6,925,64,7,6.3,2
270,271,30,F,47.8,3212,1,1886,28.6,3.3,4.3,2
271,272,35,F,50.6,3321,1.1,1837,21.7,4.3,1,2
272,273,47,F,90.4,21319,5.1,5215,84.4,2.9,7.8,1
273,274,55,F,92.8,20723,3.7,4560,78.1,2.3,8.5,1
274,275,32,F,40.1,4407,0.6,1925,21.4,3.9,2.7,2
275,276,62,F,18.7,2656,1.5,1493,33.9,3.7,2.5,2
276,277,23,F,102.6,18676,2.7,4629,74,2.5,7.6,1
277,278,27,M,64.2,10425,4.8,2403,49.3,2.2,7.7,2
278,279,55,F,47.8,6285,10.8,826,48.6,10,3.6,2
279,280,57,F,42,1985,0.8,1551,20.5,4.8,4.4,2
280,281,53,F,41.3,9796,8.3,1023,53,8,5.3,2
281,282,49,M,79.7,18441,2,6152,75.7,4.5,7.2,1
282,283,41,M,45,9081,11.1,1304,61,9.4,3.2,2
283,284,31,F,45.7,12279,7.2,979,67.7,7.4,6.4,1
284,285,54,F,88.6,12272,3.7,4978,69.8,3.8,7.5,1
285,286,33,F,26.8,9142,10.5,1127,47.3,9.4,3.9,2
286,287,39,M,34.1,3386,1.4,1695,36.3,5.1,1.9,2
287,288,45,F,50.1,4722,6.8,1787,45.6,4.5,7.9,2
288,289,57,M,38.7,1704,1.2,1826,44.9,3.8,2,2
289,290,24,F,43.6,3033,0.7,1214,31.4,5,2.8,2
290,291,26,M,34.9,9238,12.4,483,48.1,7.5,3.9,2
291,292,50,M,104,22692,5,5794,76.8,2.4,5.9,1
292,293,56,M,34.5,9171,8.3,1144,71.7,8.4,4.3,2
293,294,36,F,37.2,2677,1.2,1963,22.7,4.4,2.1,2
294,295,38,F,27.9,3287,1.2,2044,24.5,4.3,4.1,2
295,296,36,F,53.1,11510,6.2,2717,47.4,4.9,7.4,1
296,297,34,F,93,15780,2.6,4176,87.9,2.7,8,1
297,298,55,M,35.5,2303,1.5,1244,33.8,3.5,4.7,2
298,299,44,M,67.1,12437,5.7,2050,46.1,1.7,8.2,1
299,300,56,F,104.5,17370,3.3,6201,67.1,4,6.5,1
300,301,41,F,41.8,10551,9,783,78.4,8.2,6,2
301,302,53,M,66.5,13483,7.6,1724,33.5,2.3,10,1
302,303,34,F,49.2,3188,1.1,1732,21.8,3.7,2.2,2
303,304,56,F,31.1,6436,9.4,857,42.1,8.4,7.2,2
304,305,60,M,50.6,11667,10.2,762,42.8,8.2,3,1
305,306,33,M,27.1,7351,6.1,1180,51.3,7.7,4.4,2
306,307,39,F,26,5766,9.1,553,67.8,8.7,6.3,2
307,308,62,F,39.3,6216,6.7,924,48.3,7.2,4.7,2
308,309,32,F,53.6,16402,6,2275,48.7,3.8,8.1,1
309,310,49,M,96.9,20051,4.4,6136,98,3.1,7.3,1
310,311,43,F,45,8232,11.2,976,47.4,7.9,7.3,2
311,312,51,M,84.9,18580,3.4,4775,77.3,2.2,6.2,1
312,313,30,F,96.1,22302,4.7,5345,82.8,1,6.8,1
313,314,27,F,41.8,9990,7.1,1241,67.6,9.8,3.3,2
314,315,38,F,96.9,19385,1.2,4197,81.5,1.9,6.1,1
315,316,45,F,111,18905,3.5,5214,75.1,2.9,7.7,1
316,317,34,M,42.5,2365,0.8,1570,26.5,4.2,2.7,2
317,318,24,F,36.4,1655,0.3,1941,28.6,1.9,1.2,2
318,319,21,F,40.5,1991,1.5,2027,15.3,3,1,2
319,320,59,M,42.7,1672,1.2,1293,19.5,1.7,1,2
320,321,34,F,25.6,12507,10.7,1182,61.7,8.5,5.6,1
321,322,52,M,33.1,7429,5.9,707,50,8.8,4.3,2
322,323,37,F,70,13541,6.7,2028,51.2,4.3,8.2,1
323,324,28,F,61.7,11755,4.3,2078,45.4,4.5,8.7,1
324,325,38,F,44,1266,1.2,1962,43.5,4.1,1.9,2
325,326,62,F,54,14633,5.8,2525,57,6.9,8.5,1
326,327,57,F,67,10032,7.9,2093,58.8,3.6,8.9,2
327,328,22,M,32.9,2147,0.9,1684,2.6,4.5,3,2
328,329,43,M,32.2,3104,1.2,1104,21.1,5.8,1.9,2
329,330,37,F,112.5,17827,3.2,5091,79.4,1,7.4,1
330,331,62,M,22.6,10384,4.4,780,68.9,8.2,5.6,2
331,332,53,M,73.5,12741,5,2412,55.3,4.2,7.9,1
332,333,41,F,87.3,19200,2.5,5813,89,1.2,8.3,1
333,334,41,F,38.8,9722,11.4,1228,65.7,7.6,5.5,2
334,335,28,F,79.1,17523,3.2,6451,84.1,3.8,10,1
335,336,31,M,83.1,16141,3.2,5219,85.8,1.7,7.5,1
336,337,57,F,37.3,2358,1.6,2103,17.6,3.7,2.7,2
337,338,22,M,62.1,14361,5.7,1976,55.3,3.9,9.4,1
338,339,29,M,63.8,11513,5.8,2643,62.6,3.4,7.4,1
339,340,55,M,59.2,15958,7.2,1193,63.7,5.3,9.2,1
340,341,27,F,82.7,12842,1.6,5414,80.7,2.6,7.6,1
341,342,46,F,33.5,9017,8.4,549,57.7,10,2.8,2
342,343,31,F,97,18131,3.1,6065,70,2.9,5.6,1
343,344,49,M,40.8,13484,4.2,2334,34,4.1,7.9,1
344,345,33,M,24.2,10871,8.3,1141,32.9,8.3,4.5,2
345,346,21,F,106.3,15867,5.1,5771,90.7,2.3,7.9,1
346,347,28,M,84.6,19136,2.4,5369,78,3.1,7.5,1
347,348,36,F,82,20786,1.7,5835,76.1,3.4,7.5,1
348,349,41,M,69.1,14445,7.5,2829,67.1,3.3,8.3,1
349,350,58,F,110.6,14070,3.6,4735,72.2,3.2,8.1,1
350,351,61,M,41.5,2425,1,1896,16.2,6.7,3.9,2
351,352,23,M,97.9,20668,3.3,5027,78,2.8,7.2,1
352,353,64,F,48.9,1527,1.4,1520,26.5,3.9,1.5,2
353,354,46,M,71.6,17282,3.1,5383,73,1,9.8,1
354,355,63,F,77.5,15219,2.3,6037,81.8,2.6,7.3,1
355,356,24,F,83.5,13606,4.9,6166,82.2,1,9.1,1
356,357,60,M,43.8,9745,8.7,1094,37.5,7.4,3.2,2
357,358,31,F,116.2,18270,3.5,5777,89.8,3.7,8.1,1
358,359,50,F,40,8817,8.6,954,60.1,8.3,2.1,2
359,360,40,F,60.4,12302,2.4,2056,47.8,6.1,7.8,1
360,361,28,F,41.9,13286,10.5,540,64,10,5.8,1
361,362,48,M,35.9,9550,6.6,1279,65.5,7.8,3.1,2
362,363,55,F,44.9,9950,8,901,55.8,9.4,3.6,2
363,364,37,M,62.6,12674,8.6,1699,58.1,2.6,7.9,1
364,365,46,F,65.5,14377,4.4,2072,47.6,1.7,8.9,1
365,366,61,M,70.3,14818,5.6,2434,64.1,3.3,8,1
366,367,40,M,120.7,19943,3.2,4817,78,2.6,9,1
367,368,40,F,40.4,7384,8.3,678,33.8,9,5.9,2
368,369,34,M,67.6,11949,6.7,2735,38,3.6,9.5,1
369,370,26,F,95.3,18180,2.3,5858,75.8,4.2,5.9,1
370,371,28,F,35.3,2381,1.3,2005,36.1,6.4,3,2
371,372,47,F,97.8,18761,2.8,4625,78.4,1.5,6,1
372,373,48,F,39.9,9869,8.8,929,69.1,7.7,4.1,2
373,374,39,F,54.8,2504,1.8,1803,50.2,2.9,3.3,2
374,375,21,M,60.7,14701,5.8,2052,48.3,3.2,7.6,1
375,376,29,F,99.4,22322,1.9,4778,81.3,2.8,7.7,1
376,377,60,F,52.5,10367,8,883,64.4,7.4,6.4,2
377,378,55,M,32.7,10013,10.3,553,56.4,8.4,5.7,2
378,379,33,M,38.3,2174,1.2,1523,36.8,4.4,3.6,2
379,380,31,M,99.1,17105,4.8,4129,87,3.5,5.6,1
380,381,48,M,49.4,2781,2.2,1652,2,5.6,3.2,2
381,382,56,F,41.8,2410,1.8,1369,8.8,3.8,3.1,2
382,383,44,M,69.3,14807,6.1,2023,66.9,2.7,7.3,1
383,384,56,M,51.2,10470,8.9,2447,45.5,4,10,2
384,385,23,M,39,9370,10.1,866,58.7,8.1,4.6,2
385,386,58,M,21.9,10159,7.2,1025,55.1,8,4.2,2
386,387,53,M,61.6,10314,6,2449,43,1,8.4,2
387,388,58,M,32.9,10166,9.6,824,72.8,8.3,5.1,2
388,389,26,M,49.9,13388,6.5,2045,57,3.7,10,1
389,390,64,F,47,10016,9.5,737,91.7,10,4.5,2
390,391,55,M,65.6,9783,5.5,1592,65.6,3.8,8.6,2
391,392,49,F,80.4,17672,3.2,4722,71.6,3.4,8.4,1
392,393,31,F,54,6389,5.5,896,51,8.5,5.2,2
393,394,47,F,47.4,13295,6,2352,49,2.9,7.9,1
394,395,57,M,59.7,17000,6.6,1918,38.8,5.3,10,1
395,396,37,M,93.1,25263,3.2,4859,73.4,3.5,5.6,1
396,397,24,F,31.8,7959,8.6,764,53.1,9,2.9,2
397,398,52,M,33.7,1730,1,1529,19.1,7.7,3.5,2
